Game_ID,BGG_Rank,Game_Name,Length,Width,Height,Pounds,Ounces,Ounces,Retail,Wholesale,M1,M2,M3,M4,M5,M6,M7,M8,S1,S2,S3,S4,S5,S6,S7,S8,T1,T2,T3,T4,Complexity,BGG_Rating,Economist,General,Puzzle_Solver,Collector,Casual,Gambler,Culturalist,Economist_Mechanic_Match_1,Economist_Mechanic_Match_2,Economist_Mechanic_Match_3,Economist_Mechanic_Match_4,Economist_Mechanic_Match_5,Economist_Mechanic_Match_6,Economist_Mechanic_Match_7,Economist_Mechanic_Match_8,Economist_Mechanic_Match_9,Economist Match Total,Economist_Style_Match_1,Economist_Style_Match_2,Economist_Style_Match_3,Economist_Style_Match_4,Economist_Style_Match_5,Economist_Style_Match_6,Economist_Style_Match_7,Economist_Style_Match_8,Economist_Style_Match_Total
10547,353,Betrayal at House on the Hill,,,,,,0,,,Co-operative Play,Dice Rolling,Modular Board,Partnerships,Player Elimination,Role Playing,Storytelling,Variable Player Powers,Adventure,Exploration,Miniatures,,,,,,Horror,,,,2.3577,7.14372,0.69839975,0.8879797,0.94839975,0.84425965,0.92775965,0.9380797,0.8555193,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
169786,6,Scythe,,,,,,0,,,Area Control / Area Influence,Grid Movement,Variable Player Powers,Worker Placement,,,,,Civilization,Economic,Exploration,Territory Building,,,,,Fighting,Science Fiction,,,3.3036,8.34953,0.3750325,0.479989,0.3167825,0.4517455,0.4934955,0.430039,0.628641,0,0,0,1,0,0,0,0,0,0.333,1,1,1,1,0,0,0,0,1
183394,38,Viticulture Essential Edition,,,,,,0,,,Hand Management,Variable Phase Order,Worker Placement,,,,,,Economic,,,,,,,,,,,,2.951,8.19812,0.44353825,0.3623959,0.36863825,0.43110355,0.47285355,0.4123459,0.5707071,1,0,1,0,0,0,0,0,0,0.666,1,0,0,0,0,0,0,0,1
84876,9,The Castles of Burgundy,,,,,,0,,,Dice Rolling,Set Collection,Tile Placement,Variable Phase Order,,,,,Dice,Territory Building,,,,,,,Medieval,,,,3.0419,8.11092,0.48501525,0.4920683,0.51836525,0.56572135,0.79907135,0.6419183,0.7149427,0,0,1,0,0,0,0,0,0,0.333,1,1,0,0,0,0,0,0,1
155068,69,Arcadia Quest,,,,,,0,,,Dice Rolling,Grid Movement,Modular Board,Variable Player Powers,,,,,Adventure,Miniatures,,,,,,,Fantasy,Fighting,,,2.555,8.01358,0.58561575,0.7726389,0.67721575,0.64311205,0.61816205,0.8224389,0.7280241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
192458,341,51st State: Master Set,,,,,,0,,,Card Drafting,Hand Management,Variable Phase Order,,,,,,Card Game,City Building,Economic,,,,,,Science Fiction,,,,2.9804,7.93599,0.851482,0.8219284,0.801582,0.8254748,0.8422748,0.7218784,0.7679496,1,1,0,0,0,0,0,0,0,0.666,1,1,1,0,0,0,0,0,1
111799,468,Cuba Libre,,,,,,0,,,Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Variable Player Powers,,,,Economic,Wargame,,,,,,,Modern Warfare,Political,,,3.4412,7.81067,0.578717,0.8144604,0.603717,0.7167038,0.6085038,0.7142604,0.7087076,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
127023,72,Kemet,,,,,,0,,,Action Point Allowance System,Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Card Drafting,,,,Miniatures,,,,,,,,Ancient,Fighting,Mythology,,2.979,7.77458,0.7672005,0.9205906,0.7339505,0.8240307,0.8408307,0.6207406,0.7817114,0,0,0,0,1,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
172818,131,Above and Below,,,,,,0,,,Action Point Allowance System,Card Drafting,Deck / Pool Building,Dice Rolling,Set Collection,Storytelling,Trading,Worker Placement,Adventure,City Building,Economic,Exploration,Negotiation,,,,Fantasy,,,,2.5645,7.6942,0.92668875,0.8119765,0.79328875,0.89736425,0.89736425,0.8118265,0.7613785,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
119506,277,Freedom: The Underground Railroad,,,,,,0,,,Co-operative Play,Pick-up and Deliver,Point to Point Movement,Variable Player Powers,,,,,Economic,Educational,Puzzle,,,,,,American Civil War,Political,,,2.9167,7.6418,0.783904,0.8407348,0.817254,0.7641656,0.8642156,0.7406848,0.8451312,0,1,0,0,0,0,0,0,0,0.333,1,1,1,0,0,0,0,0,1
39463,87,Cosmic Encounter,,,,,,0,,,Hand Management,Partnerships,Take That,Variable Player Powers,,,,,Bluffing,Negotiation,,,,,,,Science Fiction,,,,2.5513,7.60787,0.6647605,0.7677126,0.6065105,0.8038647,0.6124147,0.7176126,0.7165294,1,0,0,0,0,0,0,0,0,0.333,0,1,0,0,0,0,0,0,1
79127,326,Star Trek: Fleet Captains,,,,,,0,,,Action Point Allowance System,Dice Rolling,Modular Board,Tile Placement,,,,,Miniatures,,,,,,,,Fighting,Movies / TV / Radio theme,Science Fiction,,3.0506,7.58081,0.6816755,0.6881106,0.6900255,0.5777957,0.6693957,0.7379106,0.7472414,0,0,0,1,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
209010,27,Mechs vs. Minions,,,,,,0,,,Action / Movement Programming,Card Drafting,Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers,,,Miniatures,,,,,,,,Fantasy,Fighting,,,2.4598,8.41385,0.67409675,0.7289661,0.74904675,0.73368545,0.69208545,0.8287161,0.7593209,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
12891,386,Friedrich,,,,,,0,,,Hand Management,Point to Point Movement,Secret Unit Deployment,,,,,,Wargame,,,,,,,,Age of Reason,,,,3.1691,7.56538,0.7832255,0.8399206,0.8165755,0.8464657,0.8299657,0.7398706,0.8099314,1,0,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
54998,120,Cyclades,,,,,,0,,,Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Dice Rolling,,,,City Building,Civilization,Miniatures,,,,,,Ancient,Fighting,Mythology,Nautical,2.8305,7.54185,0.6615565,0.7638678,0.6033065,0.7161291,0.6412291,0.7137678,0.6742582,0,0,0,1,0,0,0,0,0,0.333,1,1,1,0,0,0,0,0,1
12333,3,Twilight Struggle,,,,,,0,,,Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Hand Management,Simultaneous Action Selection,,,,Wargame,,,,,,,,Modern Warfare,Political,,,3.528,8.35709,0.557955,0.709496,0.474705,0.611087,0.377887,0.609446,0.622474,0,0,0,1,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
177736,52,A Feast for Odin,,,,,,0,,,Area Enclosure,Dice Rolling,Pattern Building,Press Your Luck,Tile Placement,Worker Placement,,,Economic,Puzzle,,,,,,,Industry / Manufacturing,Medieval,,,3.8156,8.33925,0.84396425,0.8129071,0.86066425,0.73169995,0.89844995,0.9126571,0.7635499,0,0,0,0,1,1,0,0,0,0.666,1,1,0,0,0,0,0,0,1
175914,30,Food Chain Magnate,,,,,,0,,,Modular Board,Route/Network Building,Simultaneous Action Selection,,,,,,Economic,,,,,,,,Industry / Manufacturing,,,,4.1855,8.27859,0.7842975,0.841207,0.8176475,0.6814665,0.8314665,0.841057,0.862883,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
25417,205,BattleLore,,,,,,0,,,Campaign / Battle Card Driven,Dice Rolling,Grid Movement,Hand Management,Modular Board,Variable Player Powers,,,Miniatures,Wargame,,,,,,,Fantasy,Medieval,,,2.7616,7.40446,0.7835895,0.9402574,0.8169395,0.9302253,0.8637753,0.9401074,0.8609006,0,0,0,1,0,0,0,0,0,0.333,1,1,0,0,0,0,0,0,1
97786,231,Small World Underground,,,,,,0,,,Area Control / Area Influence,Area Movement,Dice Rolling,Variable Player Powers,,,,,Territory Building,,,,,,,,Fantasy,Fighting,,,2.6,7.37477,0.605006,0.8458572,0.630006,0.6702584,0.6453084,0.7458072,0.7656668,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
